roi	subject_id	num_bins	prf_ecc_bins	prf_pcm_bins_median	prf_r2_bins_median	prf_pcm_bins_ci_upper_bound	prf_pcm_bins_ci_lower_bound
V1	100610	0	0.0601298	23.14686988601839	0.0694111	49.93854347547253	17.667286799906673
V1	100610	1	0.13575792	34.643844286423686	0.164188355	48.87575970057536	5.630174121506522
V1	100610	2	0.20124479	28.50624758484082	0.25792474	45.97949327486484	17.873320800747685
V1	100610	3	0.33779883	18.740661689523044	0.2829554	31.235878560991907	11.803727865527756
V1	100610	4	0.6015294	14.817311936350883	0.3586918	30.059242014951987	7.282779701644274
V1	100610	5	0.9191013	10.248260741013471	0.41664088	29.942669585053302	4.68729295057648
V1	100610	6	1.4896554	6.9053667115237	0.5277642	14.98027287518982	1.1430228716778803
V1	100610	7	2.55103	5.430979239680846	0.6051936	11.688078975045991	1.2768986330595071
V1	100610	8	3.9537203	4.021667745760095	0.65896845	6.961623606127393	1.7384826253163277
V1	100610	9	5.7182164	2.4644118964498105	0.6326312	4.565360971542023	1.258994039817038
V2	100610	0	0.08805018	36.64281151030993	0.12684524	39.12905443948232	13.014427291294158
V2	100610	1	0.13299295	38.41898878587475	0.12364882	46.9821411627083	19.053413021885977
V2	100610	2	0.20832703	32.865026948172286	0.22385079	47.86720066520624	10.150494955925003
V2	100610	3	0.3094745	19.44336778613986	0.26469135	35.82536074183818	7.828641926196424
V2	100610	4	0.582385	13.096461538218549	0.36871356	27.056147995969702	7.435943973377733
V2	100610	5	0.9191013	12.891060607205048	0.50308204	22.00069672890816	6.137025710029675
V2	100610	6	1.4590752	7.930938121844512	0.495507	16.17438391498623	2.484996570028516
V2	100610	7	2.54851	4.623706234548517	0.5940417	9.47201164898206	1.8479250922801
V2	100610	8	3.8290489	3.657950292991564	0.622041	6.652761630534906	1.582121258987528
V2	100610	9	5.705241	2.452471294737202	0.5342454	4.150363488485242	1.1853364185254276
V3	100610	0	NaN	NaN	NaN	NaN	NaN
V3	100610	1	0.15010029	22.96642576501923	0.16394567	39.00846975287877	9.562944780518166
V3	100610	2	0.22817077	27.89218013773403	0.2210158	45.17559841949633	9.586017251799792
V3	100610	3	0.3461373	23.26778587736413	0.3356079	45.81718582998423	7.0433711317652055
V3	100610	4	0.56294835	14.08767874509786	0.4038869	29.47989236608816	4.889135809356437
V3	100610	5	0.9117582	10.569077804142928	0.49505054000000004	20.814640363457823	2.492566002005784
V3	100610	6	1.5051769	6.076736514739218	0.51427555	14.219537719686322	2.291595401146356
V3	100610	7	2.3195848	4.20299562023291	0.5642478	10.296061999417518	1.849168172654812
V3	100610	8	3.945206	3.1553374288382106	0.5403469	6.737990591885244	1.261966151134162
V3	100610	9	5.568	2.165189557681805	0.5312564	6.299321614255083	1.253261219749843
V1	118225	0	0.057848565	28.432094672301886	0.069128215	45.53871526327214	19.764810098744046
V1	118225	1	0.15590316	22.77368106098434	0.11042696	36.72487458294063	9.372953683013057
V1	118225	2	0.21721321	16.33401719515651	0.09594315	34.02888377589661	11.722141040316442
V1	118225	3	0.3370272	13.418045323409814	0.10284871	20.01957403939127	9.73632091889213
V1	118225	4	0.5631032	12.29082487168591	0.26060772	20.479556897223272	7.53591297834586
V1	118225	5	0.9248033	10.537643340491012	0.41229865	17.050692415656385	6.773243100538957
V1	118225	6	1.504538	8.221213915040076	0.49804983	15.174458327784675	4.712182953677453
V1	118225	7	2.5447834	5.387710852230622	0.5579684	10.442313289711896	4.034858260865681
V1	118225	8	3.913998	4.1438748182649	0.5827061	10.420588274199718	2.351693677267749
V1	118225	9	5.646127	2.767381848411207	0.58787605	5.49606772878755	1.575288405184678
V2	118225	0	0.08110301	31.87369376601069	0.11811185	47.04880031661068	9.908110325434896
V2	118225	1	0.13265106	29.9246305833303	0.14854884	44.31310220726799	5.7478284707198295
V2	118225	2	0.22161627	25.4657074775564	0.175412	47.97820112703435	3.616050823384657
V2	118225	3	0.30275044	12.019820928697648	0.20114976	25.790755287885407	2.4671534785541582
V2	118225	4	0.61034024	11.253468821460634	0.3787334	34.249101719697705	2.3187140685841445
V2	118225	5	0.9257693	10.390416046148292	0.45863256	20.201210489121426	2.421746626126293
V2	118225	6	1.4587964	6.537449319301623	0.5083747	12.723506709781653	2.3676860952285685
V2	118225	7	2.5331888	4.449844383859755	0.5787116	8.213397364151023	1.7563313608339433
V2	118225	8	3.8591237	2.7500664611733723	0.5784607	5.526941662289857	0.8870862521614942
V2	118225	9	5.6606703	2.140100891621686	0.543733	3.632386988395492	0.6255197427763627
V3	118225	0	NaN	NaN	NaN	NaN	NaN
V3	118225	1	0.12475053	38.65868889437797	0.19473684	47.75576173766926	17.76335778386842
V3	118225	2	0.21619108	31.908128955335474	0.21008337	47.89886803545345	9.727315485995767
V3	118225	3	0.32084584	26.980846148650013	0.2656511	44.05391739878655	13.528407780620345
V3	118225	4	0.6054637	16.270551259421193	0.4521775	40.15636077807648	10.2063896184828
V3	118225	5	0.91520476	12.530742772274838	0.51484203	23.805023586465648	6.180887654810154
V3	118225	6	1.3863431	7.492660280250339	0.53607607	18.659642552398	3.671595449802632
V3	118225	7	2.6595013	5.026350187298724	0.55138296	9.420064015624703	2.861472235202596
V3	118225	8	3.8808246	3.39929439394155	0.56553096	9.105836999549911	1.2005404312698778
V3	118225	9	5.672189	2.59715543593111	0.48671475	5.528849486615225	1.040500563105702
V1	140117	0	0.09575765	23.6729352263747	0.10804308	25.018575430659	17.16182230313818
V1	140117	1	0.13388605	17.507917483025057	0.26308703	37.83812564490884	16.849783429909643
V1	140117	2	0.18298902	30.587819934847897	0.15787083	48.504386057911134	9.578994932971066
V1	140117	3	0.3384587	11.088316960551309	0.28368974	21.196678330210585	6.013864973481187
V1	140117	4	0.60064274	10.93169009681172	0.21795684	18.07745324403037	4.835136780056286
V1	140117	5	0.9194916	7.331471311522144	0.33919495	12.464034856195486	4.300561514507635
V1	140117	6	1.5230672	5.1340447532273545	0.4546792	9.027258821091552	3.226115282926057
V1	140117	7	2.4997091	3.692732771897466	0.5023423	8.534238378792672	2.363656580126433
V1	140117	8	3.9939556	2.772588282863737	0.53838795	4.624716053723833	1.5809456641376087
V1	140117	9	5.653782	2.1671452330922403	0.4930601	3.7710427656503	1.0753720394094846
V2	140117	0	0.09575765	20.499627026443505	0.10804308	26.56738141845719	18.064876239922544
V2	140117	1	0.13948806	22.14586812863817	0.11514163	27.372210979226043	16.393594318589855
V2	140117	2	0.20737481	21.62704555537735	0.16569966	37.632775222335646	9.057056269250252
V2	140117	3	0.33320397	21.028014999210985	0.3599798	33.68251806050534	7.670632747455999
V2	140117	4	0.5541924	11.258889655374114	0.4777978	22.06290197751467	5.779716292774384
V2	140117	5	0.9411616	8.22507472333187	0.42711735	12.712171846506363	3.229510610642434
V2	140117	6	1.5008482	6.760471899893116	0.5285667000000001	10.332594579745235	2.932361192961661
V2	140117	7	2.508314	4.529231770885486	0.53516483	7.258895420243314	2.190331995507109
V2	140117	8	3.9752955	3.4473643147907804	0.55346507	6.111488154011435	1.2922269304832557
V2	140117	9	5.664212	2.4389983250652034	0.5104132	4.515712641390353	0.9980054335785516
V3	140117	0	NaN	NaN	NaN	NaN	NaN
V3	140117	1	0.15631054	19.51180667803888	0.19085842	19.51180667803888	19.51180667803888
V3	140117	2	0.21205832	23.70098729858667	0.265931845	42.54463562585499	16.42227660329331
V3	140117	3	0.34448743	19.456017204535303	0.36038464	34.709059409469134	10.064392625378035
V3	140117	4	0.54062057	13.135004559182956	0.36447883	23.105415688011004	6.300619372144049
V3	140117	5	0.8645914	10.53163528119206	0.44955254	17.645240692927434	5.147583041367174
V3	140117	6	1.4890462	7.665730765425653	0.5200268	13.10291493415611	4.096916255904445
V3	140117	7	2.5938096	4.107245883257004	0.5148294	7.601525202058469	2.3964743997955544
V3	140117	8	3.8485315	3.091878240119325	0.43783388	6.642777727082085	1.8055803486725104
V3	140117	9	5.6406717	2.227631536102467	0.43226805	3.465453381690385	1.3875355027183442
V1	158136	0	0.058501564	10.138851254917158	0.06800443	19.488593622787324	7.684522451156991
V1	158136	1	0.124976	15.18479556226796	0.06974083	47.77783199404141	7.8203135887793565
V1	158136	2	0.20232117	15.004743546393437	0.16008723	25.407825441088207	2.0689556121535992
V1	158136	3	0.35677242	12.568364495877912	0.2474271	22.21202192113842	1.2764070184766494
V1	158136	4	0.5574626	8.208743312837194	0.2774399	17.66946930349985	1.3198625090145837
V1	158136	5	0.91949576	5.834566256656207	0.32795238	10.456643366185103	2.0963589696286222
V1	158136	6	1.502479	4.277175429470958	0.39698166	7.456948359624849	1.7862689918986647
V1	158136	7	2.6347766	2.9331204096351	0.4648587	5.597161699737894	1.233322900262593
V1	158136	8	3.9325364	2.3493163637858365	0.48347321	4.39179584937498	0.8665241583565737
V1	158136	9	5.723467	2.2281010149849565	0.47986764	3.643371372899393	0.7029588692538161
V2	158136	0	0.067159764	30.17444767598894	0.07119036	32.49657495123705	19.21828429492888
V2	158136	1	0.11985721	33.47675176546964	0.11365682	45.36154848918562	17.780937170226327
V2	158136	2	0.20141824	23.03676126416405	0.12394005	41.75645288962768	10.791263640668875
V2	158136	3	0.34622085	15.603134110521893	0.22551495	29.89365030802844	8.15179655070187
V2	158136	4	0.5618389	11.714597958101676	0.31048602	19.96461880904746	2.0274748493295847
V2	158136	5	0.8649454	7.331496499033076	0.33201453	18.39472863859776	0.9418560664129676
V2	158136	6	1.5241804	6.135367290893457	0.392006	12.755820015384437	1.6111799604701562
V2	158136	7	2.3107302	3.697382797499768	0.42833346	6.331070675042807	0.981558385059072
V2	158136	8	4.067748	2.797723986025422	0.48946655	4.4661339878801405	0.9129510758360316
V2	158136	9	5.691141	1.9961711822127164	0.49497074	3.671604812807904	0.7898723849255465
V3	158136	0	0.072395496	37.5869268280901	0.20253122	41.22258291638503	34.56893140178393
V3	158136	1	0.13148756	40.14810175788263	0.17622298	46.98672692982055	25.862476382547047
V3	158136	2	0.21880904	37.87555536917917	0.24314827	48.85014949892643	17.578409078717048
V3	158136	3	0.33844876	22.391970304478512	0.29044098	46.25639919624751	2.1302087607767333
V3	158136	4	0.5904613	13.938985897878922	0.40062988	20.849392561402688	6.509017164363858
V3	158136	5	0.91479456	10.052157934857824	0.40039027	18.959281171264937	3.362334558989208
V3	158136	6	1.3749987	8.20243915088246	0.4495561	19.037799854304296	1.6204253987493398
V3	158136	7	2.3063285	4.024598888385933	0.44205683	8.572618800289465	1.342499868926767
V3	158136	8	3.9023147	2.6168799532342275	0.38737214	4.51956159887631	1.2227530886466704
V3	158136	9	5.7087955	1.769135722392713	0.45101693	4.002519680619859	0.6954306952977181
V1	172130	0	NaN	NaN	NaN	NaN	NaN
V1	172130	1	0.1560799926519394	8.40458690023409	0.1586164283752441	11.004862850961995	7.339041813588709
V1	172130	2	0.2361133992671966	10.561743186979362	0.2882159423828125	12.166196170123714	0.5298811352368271
V1	172130	3	0.3677864670753479	8.79957922763237	0.2263713479042053	14.305140451976293	2.187597882148297
V1	172130	4	0.6121387481689453	8.968491179209938	0.35221923828125	15.011917421584725	0.6231404445338189
V1	172130	5	0.8708574771881104	7.484014201361743	0.4208772659301757	13.942676779000395	1.292996522606798
V1	172130	6	1.442322850227356	4.624537481235362	0.3669517135620117	10.2422225766092	1.402766445996242
V1	172130	7	2.441246509552002	3.28302970160597	0.47268358230590823	5.898302617785133	1.7291684916930512
V1	172130	8	3.9477589130401607	2.3509430784653707	0.5278295874595642	4.326800837683461	0.960530002937318
V1	172130	9	5.760634899139403	1.7257529850081397	0.5061347579956055	2.8297768750501	0.7253362173100791
V2	172130	0	NaN	NaN	NaN	NaN	NaN
V2	172130	1	0.1379677206277847	21.22634915523813	0.1879564476013183	39.17156364328661	14.736425466273609
V2	172130	2	0.2302847206592559	15.980209671847874	0.214634952545166	38.45565639770277	0.5672983352119959
V2	172130	3	0.3425469696521759	15.594908285703976	0.2214652037620544	37.96486440411714	1.2447617137567877
V2	172130	4	0.5963281989097595	10.364589559955991	0.2851978540420532	18.5487219989544	1.4317492567441623
V2	172130	5	0.888286292552948	8.138178107627908	0.3402010202407837	13.854758969589811	2.914643517881702
V2	172130	6	1.456621527671814	6.193677220097241	0.3986480832099914	10.746146257987633	1.4673801896772918
V2	172130	7	2.5532145500183105	3.624089554865552	0.4350502014160156	5.253232732421634	1.6227743543887814
V2	172130	8	3.919695854187012	2.8590957134520627	0.5102496147155762	4.847688013590687	1.0091838238435278
V2	172130	9	5.766992092132568	1.9056683832871504	0.494419515132904	3.489982983500954	0.6460806791829982
V3	172130	0	0.0989201888442039	13.749094204898004	0.1183742332458496	17.82107638921293	12.292463606163478
V3	172130	1	0.1583312749862671	14.553577202241836	0.1466640853881836	36.29250860013982	1.6446079737854469
V3	172130	2	0.2075271159410476	21.251549589328228	0.2069225311279297	39.255279577077935	1.4788999907556852
V3	172130	3	0.3266753256320953	16.684377658271504	0.2551237940788269	30.043776469392	1.285605127358887
V3	172130	4	0.5634129047393799	11.351020437042743	0.3220972418785095	16.498968960077434	1.5756251236560352
V3	172130	5	0.9520000219345092	7.88059339372322	0.330129325389862	15.813589906363587	1.4998323008085412
V3	172130	6	1.5118193626403809	5.520397802015447	0.365352988243103	9.416683431968352	3.2157212035972864
V3	172130	7	2.429047107696533	3.256908565512353	0.3826055526733398	5.033177861805376	1.4232112532707146
V3	172130	8	3.743342638015747	2.4452334302361134	0.4034624099731445	5.187566418304111	1.008217989278568
V3	172130	9	5.659444332122803	2.125251352681722	0.4516970062255859	4.427957282202552	0.8354063658588358
V1	182436	0	NaN	NaN	NaN	NaN	NaN
V1	182436	1	NaN	NaN	NaN	NaN	NaN
V1	182436	2	0.1858268827199935	7.615605832608883	0.1796944808959961	7.6209383203541	7.615605832608883
V1	182436	3	0.4120703041553497	7.193277630610665	0.0856432342529296	8.280377858888516	5.531305210779288
V1	182436	4	0.6097863316535949	9.399697783715224	0.1532207107543945	15.23565171024032	7.283590458494507
V1	182436	5	0.8630765080451965	8.128693859216414	0.3565494537353516	14.039544671951164	3.378937676832972
V1	182436	6	1.5114322900772097	6.575710855100416	0.5187785720825195	19.574129681712023	3.5608912251893314
V1	182436	7	2.37314772605896	4.311534814806491	0.5779512023925781	8.308520666868471	2.6168771909162727
V1	182436	8	4.015382289886475	3.0869421948705384	0.6130920028686524	4.843632265531285	1.9108581159480016
V1	182436	9	5.717593669891357	2.5754695132775227	0.6048109436035156	3.625429771688993	1.5099880397701464
V2	182436	0	NaN	NaN	NaN	NaN	NaN
V2	182436	1	0.1613467782735824	31.87163702465467	0.2031776237487793	40.86953359947388	11.890336008925098
V2	182436	2	0.2144037038087844	29.908457032382262	0.1768490028381347	41.299296767028935	11.307249832742698
V2	182436	3	0.3533418476581573	13.427957070240351	0.1065117073059082	23.93218372844497	5.062792923811881
V2	182436	4	0.6071380972862244	7.713869567335714	0.1835576820373535	13.898302101220764	4.501271645157202
V2	182436	5	0.9592825770378112	8.716281494142079	0.4191571426391601	17.58851908554162	3.7353012963077656
V2	182436	6	1.560306429862976	7.690520612976684	0.5167214965820313	19.19594897806484	2.990761209483843
V2	182436	7	2.361664056777954	5.0038707972674015	0.5548125457763672	11.451286648915518	2.377871466047898
V2	182436	8	3.8602600097656254	3.302390456156198	0.627505111694336	6.655229317396888	2.075592216447726
V2	182436	9	5.771123886108398	2.46549765474119	0.6008379364013672	3.9950319383356807	1.4486030763741091
V3	182436	0	NaN	NaN	NaN	NaN	NaN
V3	182436	1	0.1561070382595062	19.092523726310347	0.1784982681274414	42.42344697472562	12.908625200494004
V3	182436	2	0.2160105109214782	22.7511283502652	0.14440223217010495	44.65200323312283	10.360743061822768
